/*Font*/
//Number 0 -> 9
10000048, 1, 1, 9, 8
10000049, 11, 1, 19, 8
10000050, 21, 1, 29, 8
10000051, 31, 1, 39, 8
10000052, 41, 1, 49, 8
10000053, 51, 1, 59, 8
10000054, 61, 1, 69, 8
10000055, 71, 1, 79, 8
10000056, 81, 1, 89, 8
10000057, 91, 1, 99, 8
/*Character*/
//A -> Z
10000065, 101, 1, 109, 8
10000066, 111, 1, 119, 8
10000067, 1, 11, 9, 19
10000068, 11, 11, 19, 19
10000069, 21, 11, 29, 19
10000070, 31, 11, 39, 19
10000071, 41, 11, 49, 19
10000072, 51, 11, 59, 19
10000073, 61, 11, 69, 19
10000074, 71, 11, 79, 19
100000075, 81, 11, 89, 19
10000076, 91, 11, 99, 19
10000077, 101, 11, 109, 19
10000078, 111, 11, 119, 19
10000079, 1, 21, 9, 29
10000080, 11, 21, 19, 29
10000081, 21, 21, 29, 29
10000082, 31, 21, 39, 29
10000083, 41, 21, 49, 29
10000084, 51, 21, 59, 29
10000085, 61, 21, 69, 29
10000086, 71, 21, 79, 29
10000087, 81, 21, 89, 29
10000088, 91, 21, 99, 29
10000089, 101, 21, 109, 29
10000090, 111, 21, 119, 29
/*Number On Screen*/
10000100, 1, 31, 12, 39
10000200, 18, 31, 30, 39
10000400, 36, 31, 48, 39
10000800, 54, 31, 66, 39
10001000, 70, 31, 85, 39
10002000, 88, 31, 104, 39
10004000, 106, 31, 122, 39
10008000, 124, 31, 140, 39
10010000, 142, 31, 158, 39
/*HUD Text*/
//Icon
10020000, 1, 41, 17, 48
10020001, 18, 41, 26, 48
10020002, 27, 41, 42, 48
10020003, 43, 41, 51, 48
10020004, 52, 41, 67, 48
//Main Frame
10030000, 1, 50, 253, 85
10030001, 121, 1, 145, 29
10030002, 145, 1, 169, 29
10030003, 169, 1, 193, 29
10030004, 193, 1, 217, 29
//Game Over
10040001, 1, 86, 129, 150
//Start
10040002, 130, 86, 258, 150
