#Width - Height Map
[Size]
32 12
#Grid
[Grid]
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,237,238,239,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,256,257,258,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,203,204,2,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,222,223,2,2,2,2,334,2,2,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,222,203,204,2,2,2,2,2,2,2,2,2,2,2
-1,-1,-1,-1,175,176,-1,-1,-1,-1,-1,-1,221,2,2,2,2,2,222,2,223,2,2,2,2,2,2,2,2,203,204,2
-1,-1,-1,-1,194,0,176,-1,266,267,-1,-1,221,2,2,2,2,2,222,2,203,204,2,2,2,2,2,2,2,222,223,2
-1,277,-1,175,1,208,195,-1,285,286,-1,-1,221,2,2,2,2,203,204,2,2,223,2,2,2,2,2,2,203,204,223,2
12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14
