/*All path*/
[PATH]
//Current - Up - Down - Left - Right - Type
2, 3, 0, 0, 0, 0, 0, 0, 4, 3, 0
4, 3, 4, 1, 4, 5, 2, 3, 0, 0, 11
4, 1, 0, 0, 4, 3, 0, 0, 6, 1, 1
6, 1, 0, 0, 0, 0, 4, 1, 8, 1, 11
8, 1, 0, 0, 8, 3, 6, 1, 10, 1, 2
10, 1, 0, 0, 0, 0, 8, 1, 12, 1, 3
12, 1, 0, 0, 12, 3, 10, 1, 0, 0, 11
12, 3, 12, 1, 0, 0, 10, 3, 0, 0, 10
10, 3, 0, 0, 0, 0, 8, 3, 12, 3, 4
8, 3, 8, 1, 8, 5, 0, 0, 10, 3, 11
8, 5, 8, 3, 0, 0, 6, 5, 0, 0, 7
6, 5, 0, 0, 0, 0, 4, 5, 8, 5, 9
4, 5, 4, 3, 4, 7, 0, 0, 6, 5, 11
4, 7, 4, 5, 4, 9, 0, 0, 0, 0, 11
4, 9, 4, 7, 0, 0, 0, 0, 6, 9, 5
6, 9, 0, 0, 0, 0, 4, 9, 8, 9, 11
8, 9, 8, 7, 0, 0, 6, 9, 0, 0, 6
8, 7, 0, 0, 8, 9, 6, 7, 10, 7, 11
6, 7, 0, 0, 0, 0, 0, 0, 8, 7, 10
10, 7, 0, 0, 0, 0, 8, 7, 12, 7, 11
12, 7, 0, 0, 0, 0, 10, 7, 0, 0, 12
[ENEMY]
10, 7, 515, 0
